,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
UNG,DNA repair,UNG,up,1,0.7936496403,0.8564629805,0.9076872775,1.0329143355,1.110368379,1.0484632711,0.9840877716,0.9774395117,0.9717358134,1.0606699121,0.8149749328,0.9587299281,1.3513042215,,0.1161128624,0.0329328959,0.0136150038,0.0119195505,0.0252776674,0.0147966834,0.0003082642,0.0451607106,0.0009247927,0.0014385664,0.0136150038,0.0157214761,0.0266134791,,0.5817616695,0.3948104434,0.2072904413,0.148022615,0.1935895173,0.2591224429,0.2369748103,0.2749839489,0.189849711,0.8383864756,0.2892036339,0.0800346442
OGG1,DNA repair,OGG1,up,1,0.890070922,0.9046303873,0.9430578287,0.9275436443,0.9375,1.0913120567,1.0340289143,0.8428464266,0.9017321331,0.9812465903,0.8178873432,0.6449468085,1.2094585379,,0.0572860649,0.0149966045,0.0403124161,0.0025556914,0.0038094269,0.0266177675,0.0035683239,0.015768134,0.0446522695,0.0004822059,0.0512584908,0.0284019295,0.0006268677,,0.7814284422,0.4074520516,0.5246265409,0.4494150682,0.0836842278,0.1734453655,0.4431220911,0.8425891128,0.2661715239,0.316841708,0.0609246067,0.0802902135
MPG,DNA repair,MPG,up,1,0.7373165322,0.7682130665,0.9850394072,1.0388251766,0.8646467507,1.0384161593,1.0981956046,0.986848522,0.7816634417,0.9491717401,0.8559629997,1.3832963645,0.9675932481,,0.0355294266,0.0266748794,0.0040045691,0.0768654783,0.0497678943,0.0072749671,0.0575100612,0.0498568848,0.0193554171,0.0383103773,0.0628049914,0.0569983662,0.0437165455,,0.4358037463,0.0613793911,0.072303638,0.1108242499,0.0448141554,0.027757566,0.036107748,0.2950535412,0.0294728103,0.1782165942,0.0103348811,0.0314283601
APEX1,DNA repair,APEX1,up,1,1.2584984009,1.141029609,0.9609512019,0.7558934282,0.7744119468,0.6505209945,0.5980475601,0.7326421129,0.8639997937,1.0383653152,0.7831037862,0.4741695038,1.1113432374,,0.0348155072,0.0024803085,0.0443172774,0.0003465137,0.0177451485,0.0092646819,0.0165779445,0.0481471655,0.0050335673,0.0290889125,0.009465295,0.0674972196,0.0287423988,,0.1299675575,0.0202660602,0.0311347383,0.0105764737,0.0176122819,0.0076270601,0.0089072004,0.0360218606,0.0223030282,0.022973084,0.0135620709,0.046975341
ERCC1,DNA repair,ERCC1,up,1,0.7550841401,0.6760281983,0.9015008771,1.0840263791,0.976171139,1.1628224287,1.0852446235,0.6011955039,0.5253882139,0.4903515041,0.4802644403,0.6178123579,0.5190533429,,0.0016080006,0.0586920222,0.007304917,0.0308046973,0.0014472005,0.0035835442,0.0069833169,0.0249469808,0.016654292,0.0241200091,0.0085683461,0.023591666,0.030942526,,0.3075956323,0.0170252588,0.0415623616,5.30372525010957E+AC0-05,0.0007056488,0.0064006197,0.0716330017,0.0310863553,0.0401099731,0.0110892878,0.0758129295,0.058240265
ERCC6,DNA repair,ERCC6,up,1,1.2544347867,1.3239703479,1.3067048765,1.2653293229,1.4291499893,0.8657366838,1.4676361225,0.8655708974,1.3441962911,1.2546242569,1.1125216114,0.2526111361,0.9979631954,,0.0218380324,0.0006028905,0.0150387677,0.0635044624,0.0203977941,0.0176177992,0.0543941175,0.0508772565,0.0109190162,0.0354365618,0.0257233265,0.0206322515,0.0072011917,,0.1389325788,0.123336861,0.8506615756,0.0145151537,0.0031753046,0.0792379602,0.0312798384,0.0641503676,0.9955510252,0.0288052368,0.0004589766,0.0235436927
XPA,DNA repair,XPA,up,1,1.5552254456,1.2669229873,1.5708377024,1.2315623908,1.2438541303,0.4475125248,1.1239659793,1.4944075498,1.5573226145,1.2730397297,1.0111849004,0,1.4408714902,,0.0490188203,0.0158178378,0.1693002954,0.0162297607,0.0551976632,0.0438285923,0.0136758389,0.0460529757,0.0617060444,0.0109571481,0.0553624324,0,0.059481661,,0.0549784927,0.9183603153,0.0470677203,0.0278711148,0.0018701863,0.0374595978,0.3297775467,0.9735509919,0.0662271833,0.0095697595,0.0141881345,0.1753935257
XRCC1,DNA repair,XRCC1,up,1,0.8993722902,0.9547013525,0.8705105805,1.1527211545,0.8634569339,0.8877887789,0.8715459781,1.0287969973,0.9016372225,1.0745486313,0.9244806834,1.225846114,1.0375331651,,0.0503343985,0.062323137,0.0640619617,0.1448715505,0.0055825424,0.0443857877,0.0179373493,0.0179373493,0.0313903612,0.0511580522,0.0281872631,0.0015557905,0.0916086052,,0.4355713587,0.6685407654,0.2172142606,0.4958984526,0.8302260856,0.5748130915,0.1399544135,0.9626690712,0.0746748726,0.6153751374,0.0689030202,0.2374982992
XRCC5,DNA repair,XRCC5,up,1,1.0828293712,0.9681175687,1.0608600654,0.8511190428,0.8404651267,0.6904827111,0.8003950883,0.6068062945,0.8543725354,0.8710365831,0.8042516892,0.4784564617,1.0869433782,,0.0051344754,0.0253824249,0.0249527883,0.0354799443,0.0068551384,0.008855171,0.0030772989,0.0416493571,0.0045884347,0.0114520388,0.0023809912,0.029221641,0.0071472066,,0.088240101,0.4248619842,0.0637885354,0.0009759545,0.0013216166,0.000835264,0.0366648034,0.0004900746,0.0088169288,0.0018240366,0.0182061192,0.5826039106
MSH2,DNA repair,MSH2,up,1,0.9815003867,0.9876566125,0.8333178654,0.797092034,0.790812065,0.7556071152,0.8164269142,0.7135962877,1.0804331013,1.1586388244,0.9899767981,0.3618252127,1.228058778,,0.0816809504,0.0740247285,0.0061687274,0.0380623604,0.0129937023,0.0689059972,0.0187686812,0.0064312264,0.0209561731,0.0059062283,0.0111562091,0.0049874817,0.0181561834,,0.9443005275,0.2349228113,0.1491995013,0.1797385245,0.0993033774,0.1998125749,0.1332907717,0.3234363783,0.1990513953,0.9074096935,0.0583157811,0.1326247171
