,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
TERT,Telomerase activity,TERT,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
TERC,Telomerase activity,TERC,up,1,1.0978089918,0.8597808992,0.8245566462,0.816801345,0.8890395358,1.0747329031,0.8356743858,0.6618580183,0.6340907858,0.6623189978,0.5722924237,0.7740116058,0.4985628288,,0.0626996902,0.0666112305,0.0279176602,0.0654991259,0.0618176762,0.0187907328,0.0032979654,0.0043717215,0.0229323637,0.0181388095,0.010239032,0.0231624544,0.0119647115,,0.0669173982,0.064389846,0.0484718898,0.078616635,0.695089484,0.1058506919,0.0633692756,0.0379789939,0.0481530561,0.0481430522,0.059056587,0.040273975
RTEL1,Telomerase activity,RTEL1,up,1,0,0,0,0,0,0,0,0,0,0,0,2.0445,0,,0,0,0,0,0,0,0,0,0,0,0,0.0155563492,0,,1,1,1,1,1,1,1,1,1,1,0.0034236014,1
CD40,Allergy,CD40,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
ERBB2,Allergy,ERBB2,down,1,0.9507185861,0.9003690037,0.9360555448,0.8172460672,0.8044765974,0.8827442222,0.7882598563,0.5593804622,0.46557584,0.5320936104,0.4920858419,0.9358127792,0.6316275005,,0.0003433224,0.0240325668,0.0348128897,0.04724116,0.0117416255,0.0194320469,0.0158614941,0.0159988231,0.0143508756,0.0269851393,0.0257491788,0.0248565406,0.0002059934,,0.2072158785,0.6579344407,0.1560821748,0.0359264113,0.1268337609,0.0438051121,0.0183519129,0.0132664172,0.0289794685,0.0252271474,0.5521168839,1.16235583447389E+AC0-05
LIF,Allergy,LIF,down,1,0,1.4775474957,1.6519861831,0,1.5222366149,3.2763385147,5.2761226252,0,0,0,0,0,0,,0,0.0586202513,0.1471612558,0,0.1016694983,0.1251786616,0.0888463184,0,0,0,0,0,0,,0.0178570525,0.0400458925,1,0.0300414503,0.0171959251,0.007580602,1,1,1,1,1,1
MALT1,Allergy,MALT1,down,1,0.99463004,0.8284865032,0.7917211856,0.9281938026,0.8414424771,0.7828645333,0.8410945642,0.9001868141,0.9205472821,0.8184575357,0.7394661806,0.4461907319,0.7000915162,,0.0020215733,0.0046421314,0.0570853807,0.0011658809,0.0012086655,0.0033372004,0.0078830664,0.0326232736,0.0104822322,0.0187182717,0.0053908623,0.0139905711,0.0073803471,,0.0038092171,0.1246235197,0.0021506071,0.0004997291,0.0006384276,0.0160633159,0.1513686737,0.0555162754,0.0454517904,0.0035115143,0.0099174687,0.0066865132
NCK1,Allergy,NCK1,down,1,1.2791643617,1.3400800495,1.2349419153,0.887930754,0.8899482607,0.6966906381,0.8599459829,0.9037779441,1.2125540985,1.2771143145,0.9277927825,0.5478181641,1.0548631675,,0.0064426767,0.0236538274,0.0164288257,0.0006902868,0.0391622707,0.035434722,0.0239759613,0.0182235713,0.001150478,0.0078692694,0.0154624242,0.0269211849,0.0466173681,,0.1506793563,0.1281028254,0.0067663508,0.0402159604,0.0229456484,0.0174817598,0.010957854,0.0376416801,0.8033569888,0.0075616771,0.011569707,0.0878043881
PAF1,Allergy,PAF1,down,1,1.2056071812,1.0606549087,1.0010588533,1.2259940578,1.2962418611,1.4111511474,1.0801251659,0.9437227385,1.1733200582,1.1812535559,0.8724160819,0.5211296542,0.9630981731,,0.0186398336,0.0487675263,0.0829405546,0.0351340748,0.0154884948,0.0316474873,0.0374584666,0.0132535028,0.0142368993,0.0027490402,0.0119125076,0.0706927982,0.0363633205,,0.114623787,0.1635070295,0.5634448539,0.0363725291,0.0276399228,0.0856286714,0.0057732612,0.1996079549,0.3105902692,0.0045818229,0.0346818963,0.0311340647
DYNLL2,Allergy,DYNLL2,down,1,0.8322642089,0.8190490433,0.8696271576,0.7188294464,0.6199006698,0.7289671077,0.7243941409,0.709242745,0.7189396384,0.7938937907,0.8204185721,0.5466230097,0.7241422736,,0.0095281958,0.0117210166,0.0157504639,0.0057436321,0.0034840249,0.0306327044,0.0034840249,0.0020481169,0.02070379,0.0104965989,0.0550654028,0.0220506495,0.0601634328,,0.3462034414,0.128008953,0.0101158036,0.0095321699,0.1072842514,0.0222642944,0.0279462155,0.0459267497,0.0629644251,0.812414974,0.0152109845,0.2316129651
GRK5,Allergy,GRK5,down,1,1.0494091734,0.8993064857,0.8404024169,0.8766258892,0.7461678126,0.5061166176,0.798642736,1.0337232491,1.2341875763,1.1695687115,1.15403161,0.4334910855,0.8347769146,,0.0160376036,0.0554791641,0.0347270944,0.0435246249,0.0162059774,0.0826715313,0.0063140172,0.0215518452,0.0007155886,0.008839624,0.0376315422,0.0030307282,0.0018521117,,0.1406304022,0.0401730303,0.0818540223,0.0028158186,0.0597773103,0.0134843326,0.5020067023,0.0386831791,0.0239416216,0.1187649108,0.0091378628,0.0314812536
PSMD4,Allergy,PSMD4,down,1,0.7368803538,0.6745601014,0.7252837307,0.9015137459,0.6777298451,0.7992701859,0.8016127037,0.8374849244,0.7348934657,0.6809073198,0.8379024028,0.7209852491,0.8302718248,,0.0215388001,0.0032472201,0.0126827452,0.0193193197,0.0071176441,0.0058384362,0.006570974,0.0012573411,0.0046466955,0.0574440893,0.0250484219,0.0154160955,0.0074784463,,0.1458690243,0.5925973646,0.0156217227,0.1329599449,0.1326954968,0.1232180166,0.0947226419,0.9179027233,0.3828657078,0.0515489679,0.4934620587,0.0760424371
RDH10,Allergy,RDH10,down,1,0.8024294288,0.8964764667,0.9878528559,0.906211412,0.7434741407,0.9286678345,0.7769003245,0.4659276915,0.4843924992,0.3028171036,0.2950636074,0.5083709043,0.2471929472,,0.0003655033,0.0290778196,0.0399616962,0.023107932,0.0781364872,0.0351289301,0.0131581195,0.0045890972,0.0361442171,0.0044266513,0.0058886646,0.0144170753,0.0069039516,,0.1370113699,0.0962697078,0.0993172094,0.4793262355,0.1236317725,0.222161633,0.0058228229,0.0510189413,0.0037606511,0.0050521308,0.0219711444,0.0054634492
RELB,Allergy,RELB,down,1,1.4465590953,1.1985932975,1.1410839884,1.4352503103,1.5607502413,2.5035167563,3.9973796718,0,1.6983864295,0.9583505723,1.045648876,1.5960557165,1.2224520756,,0.0208689631,0.0177483705,0.0585111114,0.0181384445,0.1425720748,0.1121462968,0.2112251121,0,0.1277492599,0.07703963,0.0635820744,0.1870405194,0.0300357038,,0.0066645154,0.0596035351,0.6225478155,0.4577476518,0.0411745856,0.0355356593,0.0064962309,0.2116110106,0.055298761,0.0500133357,0.459511793,0.018307544
SCARF1,Allergy,SCARF1,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
TNFSF14,Allergy,TNFSF14,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
ABR,Allergy,ABR,down,1,0.9258660389,0.9026207539,0.9740123664,1.3005588182,1.2575349908,1.5069981631,1.5411222932,0.9275864745,0.9333686907,0.9426693918,1.0400357023,0.938387706,0.9998318371,,0.0474355906,0.0058905747,0.0068601413,0.0497771855,0.0394961204,0.0563446275,0.0168302134,0.0352702733,0.0230317812,0.0143056814,0.0146166745,0.0041526722,0.0282637823,,0.6137070186,0.3836552749,0.0165307432,0.0184713643,0.0087726337,0.0193960953,0.9711835701,0.8651500529,0.7052122433,0.1573847868,0.7726366879,0.2265883846
IL13,Allergy,IL13,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
IL4R,Allergy,IL4R,down,1,0.965350635,1.0931805632,1.3956377692,1.4579652126,1.2893429045,1.807426836,1.4503036996,0.7533130867,0.5995996687,0.630935947,0.7971424627,1.1668967421,1.0119409166,,0.1116689892,0.0312360809,0.0208891291,0.1102047979,0.086094448,0.0042949611,0.0751618196,0.0142514619,0.0055639269,0.0116159176,0.0311384681,0.0464636703,0.0494896657,,0.3382017524,0.1058811854,0.0471680066,0.0901942799,0.0591783028,0.0475298848,0.2222222094,0.1346000417,0.1443321813,0.2615846559,0.2019548498,0.6637180705
IL5RA,Allergy,IL5RA,down,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1
RELA,Allergy,RELA,down,1,1.0645757558,0.923021883,1.1055989506,1.2008824757,0.8938047821,1.3391568779,1.1742889512,0.9187883847,0.7460497287,0.6348458649,0.7617315604,1.4601991533,0.757975076,,0.0298510286,0.1160311169,0.0677972515,0.0630750548,0.0269839807,0.0085168189,0.0426684194,0.0317905022,0.0067459952,0.0441019434,0.0150941642,0.1540616647,0.0371029734,,0.3212847346,0.5457905863,0.1568853097,0.0273047445,0.0350821684,0.1101739287,0.0422828222,0.0336181078,0.0118484208,0.0170831698,0.1601735491,0.0136229609
