,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
allergy,GRK5,1.0,0.9776122854896157,0.9970396410564781,0.8616957306073362,0.7339608677552154,,0.0,0.23548088365793698,0.0674180095521565,0.07581077978932838,0.051172999038796546,,0.877190192683278,0.9430272143031846,0.034189269938019136,0.0008421707866446984
allergy,IL13,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
allergy,IL4R,1.0,0.9530941408821593,1.0206138907175772,0.9309578670177748,1.148041474654378,,0.0,0.6303476192325008,0.0774686874688083,0.01123271889400927,0.12667290617460497,,0.9036681697236424,0.6688246661972195,0.00044082716898486926,0.11295194704440882
allergy,IL5RA,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
allergy,LIF,1.0,0.7446016381236039,2.0186150409530903,1.7800943162074958,1.6284437825763216,,0.0,0.0,0.2121980766764782,0.4093996156812782,0.18349445553943589,,0.0,0.0011430640982935416,0.029923537192065423,0.004047908163322918
allergy,MALT1,1.0,1.083128236875085,1.0254948738468044,0.9437784052303373,0.8860016005073307,,0.0,0.05145509410431231,0.039717317548909475,0.19231415408382807,0.026321102476093428,,0.04890053971165187,0.32853441101217307,0.6392436090064509,0.0016894887790282387
allergy,NCK1,1.0,0.7052621270483774,0.9265848403734411,0.879806750669191,0.6971012600378663,,0.0,0.46883021223001836,0.09969109913767527,0.062087181122459104,0.029616190036599956,,0.3374155056457101,0.2711636359025972,0.028488278060365625,5.965750031248061e-05
allergy,PAF1,1.0,1.0443053524422343,0.9303188066686165,0.937747879496929,1.1585141854343375,,0.0,0.08149839813963525,0.008674907209846976,0.07942529056694124,0.058611517494294114,,0.3997097248562889,0.00015477258175516058,0.246145480899684,0.009417467006482967
allergy,PSMD4,1.0,0.9581966968757453,0.9841178750298116,0.8994455044121153,1.0309295253994755,,0.0,0.05932951702679108,0.01846937671465448,0.052246845545429924,0.07398957522015903,,0.28933927782794916,0.21061686300090315,0.029010528764752668,0.5091202144324752
allergy,RDH10,1.0,0.703873035892585,0.9652635451153503,1.1318513847285723,0.9071417310420937,,0.0,0.6730140139347458,0.08435103703121408,0.08568632449443088,0.02828430674895969,,0.4884584304028014,0.5150818746530509,0.05608417586505498,0.004722605081331699
allergy,RELA,1.0,0.6206698197622394,0.8568963313306917,0.878307554646555,0.5740764412629425,,0.0,0.4108168571448359,0.09737167790858688,0.1780473940579593,0.1562932628163442,,0.185001768120953,0.0636061418066967,0.30202484301306043,0.009170844306231779
allergy,RELB,1.0,1.1328013990600068,0.9840419718001968,0.8999890698436989,1.0813203628811892,,0.0,0.8261744151525393,0.1654369335647946,0.21552727307135994,0.3143390764698805,,0.7944941133512037,0.8754183181407511,0.46660406125874887,0.6772896651447825
allergy,SCARF1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
allergy,TNFSF14,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Eye protection,CASP3,1.0,0.7156727692854604,0.8950464361891219,0.8365846071809456,0.8418947742623534,,0.0,0.042701817495323736,0.026910563304747122,0.05751499663332671,0.02574498801427644,,0.000322819354703765,0.0025042858471119723,0.007922488811296691,0.0004423119477255044
Eye protection,CASP8,1.0,1.0379114067478037,1.0538277990322193,0.9421064558700026,0.9698868256528518,,0.0,0.161365363533618,0.0686396420182862,0.03465257818844252,0.04053708803565289,,0.7048927642213099,0.24593072066573607,0.04439716160552422,0.26762812599836827
Eye protection,IL-1B,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Eye protection,IL-8,1.0,1.0,1.0,1.0,1.0273333333333332,,0.0,0.0,0.0,0.0,0.04734272207354936,,,,,0.3739009663000612
Eye protection,TNF-a,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,
Eye protection,VEGFA,1.0,1.1415899342664515,1.155976042619738,1.0821117794778956,0.807069114316676,,0.0,0.10335911965028602,0.024515093140530023,0.04027444368176083,0.06701512608973523,,0.07659474805131483,0.00038542401730553086,0.02420186232694484,0.007562778657242486
Nonalcoholic liver damage,APEX1,1.0,0.9880003922241561,0.939762949525654,0.8522479346946782,0.8239894099477852,,0.0,0.20919251196493555,0.0767687388256287,0.0014300962539313261,0.023644050724476357,,0.925637995628301,0.2457056668350794,5.849855892154477e-09,0.00020865229874913774
Nonalcoholic liver damage,CAT,1.0,0.8412644422256114,0.8887194285651588,0.847568000526668,0.7562185233544366,,0.0,0.06628390175885977,0.04057538670613318,0.01765401884707228,0.031574122207874276,,0.014284764849918318,0.008969192057560582,0.000116450944433906,0.00018080590013662997
Nonalcoholic liver damage,ERCC1,1.0,1.660236851631587,0.9486993845994726,1.1088069504059574,1.1836893003051145,,0.0,0.5089114415398557,0.0671444809335365,0.07093496513499398,0.11859972150452422,,0.08792932116333307,0.2562931065638006,0.05657955155950583,0.055077859260425376
Nonalcoholic liver damage,ERCC6,1.0,1.2910112359550563,1.1856741573033707,0.8616573033707865,0.8426966292134831,,0.0,0.7765036766516652,0.3024247890988471,0.032840850986207704,0.0,,0.5516470448086611,0.34753877221960455,0.0018759539867111228,0.0
Nonalcoholic liver damage,GPX1,1.0,1.232622074835426,1.0939546873506307,1.0498946792414268,1.3158007509254712,,0.0,0.04953331501166302,0.09927456357379946,0.12667629517748624,0.05648642713968439,,0.0012426691201237892,0.1765074602971411,0.5325627807722941,0.0006364579157488532
Nonalcoholic liver damage,MLH1,1.0,0.9394817673466173,0.9613609514058439,0.8748523273214145,0.856422777033945,,0.0,0.20603454691032486,0.10960564283693368,0.0349536993201034,0.04326843526097439,,0.6377031447786257,0.5744576775503134,0.0034389001970024347,0.0045427504350789285
Nonalcoholic liver damage,MPG,1.0,1.0693023628996672,1.0262566694748667,0.8994263248686165,1.2092510129578369,,0.0,0.2930384561791161,0.0995691565093603,0.02835830092934643,0.08803680773795093,,0.7030694923759442,0.6715561376662407,0.0035613068130424673,0.014650150036743179
Nonalcoholic liver damage,MSH2,1.0,0.8239430457284295,0.8932732454934119,0.8449008675650672,0.7638072855464159,,0.0,0.030606122961881012,0.02313295372995227,0.015883260290697747,0.007259490989213657,,0.0005700483043783726,0.0013295567800216907,7.164334762063884e-05,5.936852856388113e-07
